dataset,column,missing_count,missing_rate,risk_level
raw_market_data,Date,0,0.0,Low
raw_market_data,asset,0,0.0,Low
raw_market_data,Close,0,0.0,Low
processed_market_data,Date,0,0.0,Low
processed_market_data,asset,0,0.0,Low
processed_market_data,Close,0,0.0,Low
processed_market_data,daily_return,0,0.0,Low
trading_signals,Date,0,0.0,Low
trading_signals,asset,0,0.0,Low
trading_signals,Close,0,0.0,Low
trading_signals,daily_return,0,0.0,Low
trading_signals,position,0,0.0,Low
trade_performance,Date,0,0.0,Low
trade_performance,asset,0,0.0,Low
trade_performance,Close,0,0.0,Low
trade_performance,daily_return,0,0.0,Low
trade_performance,position,0,0.0,Low
trade_performance,strategy_return_after_cost,0,0.0,Low
trade_performance,total_cost,0,0.0,Low
trade_performance,drawdown_after_cost,0,0.0,Low
