asset,trading_year,annual_return_after_cost,annual_total_cost,avg_volatility_20d,annual_trades
AUDUSD,2021,-0.0779,0.004919,0.005321,8.0
AUDUSD,2022,-0.0985,0.005415,0.007898,7.0
AUDUSD,2023,-0.0097,0.004396,0.006782,6.0
AUDUSD,2024,-0.1056,0.003983,0.005253,7.0
AUDUSD,2025,-0.0703,0.004836,0.005689,7.0
EURUSD,2021,-0.0318,0.001307,0.003397,4.0
EURUSD,2022,0.0248,0.005173,0.005991,9.0
EURUSD,2023,0.0077,0.003079,0.00464,6.0
EURUSD,2024,-0.0548,0.002584,0.003611,7.0
EURUSD,2025,0.1063,0.002415,0.004836,5.0
GOLD,2021,-0.0317,0.00672,0.008628,6.0
GOLD,2022,0.0298,0.005045,0.009513,5.0
GOLD,2023,-0.0091,0.006178,0.008067,6.0
GOLD,2024,0.1573,0.005988,0.009207,5.0
GOLD,2025,0.5717,0.003292,0.011861,3.0
NASDAQ100,2021,0.0434,0.006786,0.010275,5.0
NASDAQ100,2022,-0.2274,0.015246,0.020203,7.0
NASDAQ100,2023,0.3236,0.004725,0.011537,3.0
NASDAQ100,2024,0.0623,0.006275,0.010968,4.0
NASDAQ100,2025,0.1601,0.009395,0.013028,6.0
SP500,2021,0.1212,0.003357,0.007539,3.0
SP500,2022,-0.2578,0.009795,0.014902,6.0
SP500,2023,0.0751,0.007206,0.008269,6.0
SP500,2024,0.1415,0.004822,0.007562,4.0
SP500,2025,0.0957,0.005233,0.010055,4.0
